"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-single-hostnet-hostfs.csv -cndy --net-packets",,,,"Date:","20 Jun 2014 09:58:01 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
33.491,5.777,58.018,0.0,0.0,2.715,6193266.0,15706146.0,0.0,16384.0,310298.0,119576.0,72011.0,72015.0
33.101,6.108,58.291,0.0,0.0,2.500,6193856.0,15702775.0,0.0,16384.0,308913.0,119167.0,72036.0,72036.0
32.339,6.315,58.235,0.032,0.0,3.078,6215964.0,15766755.0,0.0,98304.0,309330.0,119122.0,72291.0,72290.0
32.721,6.208,58.347,0.032,0.0,2.692,6207486.0,15734957.0,0.0,28672.0,307661.0,118520.0,72134.0,72126.0
33.799,6.062,57.632,0.0,0.032,2.475,6260280.0,15876101.0,0.0,16384.0,322875.0,124706.0,72834.0,72837.0
34.747,6.076,56.867,0.032,0.0,2.278,6305518.0,15984876.0,0.0,16384.0,339998.0,130090.0,73330.0,73324.0
33.439,6.739,57.343,0.0,0.0,2.479,6291116.0,15953601.0,0.0,16384.0,337471.0,129599.0,73203.0,73196.0
34.079,6.100,57.298,0.0,0.0,2.523,6313828.0,16005633.0,0.0,24576.0,341869.0,130370.0,73359.0,73364.0
34.647,5.944,57.057,0.032,0.0,2.320,6317980.0,16015174.0,0.0,16384.0,340658.0,130856.0,73445.0,73437.0
33.943,6.782,56.909,0.032,0.0,2.334,6280212.0,15923191.0,0.0,28672.0,338341.0,130438.0,73053.0,73045.0
33.661,6.542,57.415,0.0,0.0,2.382,6296416.0,15968550.0,0.0,16384.0,336207.0,128982.0,73205.0,73205.0
35.073,6.578,55.756,0.0,0.0,2.593,6366742.0,16139822.0,0.0,16384.0,349303.0,133589.0,74008.0,74002.0
33.418,6.518,57.393,0.032,0.0,2.639,6286826.0,15944343.0,0.0,98304.0,338043.0,130311.0,73137.0,73133.0
33.418,6.874,57.491,0.032,0.0,2.186,6282880.0,15928339.0,0.0,16384.0,332606.0,128382.0,73031.0,73029.0
34.028,6.951,56.556,0.0,0.0,2.464,6313474.0,16005958.0,0.0,16384.0,329350.0,126096.0,73420.0,73416.0
32.846,6.321,57.973,0.0,0.0,2.859,6234724.0,15808956.0,0.0,28672.0,307649.0,118205.0,72488.0,72491.0
33.942,6.234,57.557,0.0,0.0,2.267,6224774.0,15784401.0,0.0,20480.0,309880.0,118105.0,72371.0,72369.0
33.617,5.797,57.561,0.0,0.0,3.025,6227580.0,15791295.0,0.0,24576.0,312068.0,118157.0,72391.0,72390.0
33.859,5.864,57.566,0.032,0.0,2.680,6227788.0,15793768.0,0.0,16384.0,312235.0,118424.0,72444.0,72449.0
33.354,5.992,57.990,0.0,0.0,2.663,6225212.0,15781817.0,0.0,16384.0,310647.0,117988.0,72399.0,72394.0
33.280,6.192,58.050,0.0,0.0,2.477,6227012.0,15791046.0,0.0,16384.0,307056.0,118260.0,72431.0,72435.0
33.175,6.052,57.921,0.0,0.0,2.852,6218232.0,15767994.0,0.0,28672.0,313278.0,117758.0,72268.0,72268.0
32.911,6.297,57.975,0.032,0.0,2.785,6213904.0,15753582.0,0.0,98304.0,306487.0,118401.0,72239.0,72234.0
32.935,6.600,57.637,0.0,0.0,2.828,6217326.0,15761651.0,0.0,16384.0,306176.0,117997.0,72334.0,72332.0
33.259,5.866,58.244,0.0,0.032,2.600,6191162.0,15700181.0,0.0,16384.0,305893.0,118337.0,71983.0,71976.0
32.522,6.005,58.534,0.032,0.0,2.908,6167056.0,15635248.0,0.0,16384.0,302603.0,116749.0,71700.0,71704.0
31.933,6.336,58.803,0.0,0.0,2.929,6169526.0,15643280.0,0.0,16384.0,304375.0,117216.0,71738.0,71738.0
