"Host:","arldcn24",,,,"User:","root"
"Cmdline:","dstat --output /tmp/dstat-run-2000000.csv -cndy --net-packets",,,,"Date:","16 Jun 2014 16:57:12 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
37.476,11.281,47.451,0.032,0.0,3.760,9253722.0,23463370.0,0.0,16384.0,569435.0,187660.0,107618.0,107613.0
36.636,11.772,47.668,0.0,0.0,3.924,9254012.0,23468044.0,0.0,16384.0,574888.0,188327.0,107560.0,107554.0
37.343,11.547,47.507,0.0,0.0,3.602,9252924.0,23460624.0,0.0,90112.0,569573.0,189411.0,107632.0,107632.0
37.166,11.562,47.311,0.0,0.0,3.961,9308384.0,23598087.0,0.0,16384.0,570230.0,189092.0,108226.0,108216.0
38.204,10.500,47.217,0.0,0.0,4.080,9273424.0,23513966.0,0.0,16384.0,562729.0,187522.0,107819.0,107820.0
37.395,11.093,47.363,0.032,0.0,4.116,9282946.0,23536166.0,0.0,28672.0,567645.0,189061.0,107895.0,107892.0
38.699,12.138,45.203,0.0,0.0,3.960,9386136.0,23800767.0,0.0,16384.0,604009.0,195553.0,109179.0,109177.0
38.809,12.104,45.341,0.0,0.0,3.746,9402978.0,23840200.0,0.0,16384.0,590255.0,194617.0,109331.0,109320.0
39.567,11.864,44.816,0.0,0.0,3.753,9424462.0,23897912.0,0.0,20480.0,593774.0,195541.0,109592.0,109603.0
37.897,11.542,46.938,0.0,0.0,3.623,9341984.0,23688938.0,0.0,28672.0,573862.0,189967.0,108674.0,108660.0
33.873,9.937,52.190,0.0,0.0,4.0,9008984.0,22841334.0,0.0,16384.0,495332.0,166672.0,104745.0,104750.0
32.973,10.102,52.827,0.0,0.0,4.098,8980702.0,22774007.0,0.0,28672.0,490269.0,164256.0,104419.0,104412.0
33.763,10.038,52.045,0.063,0.0,4.091,8914720.0,22602407.0,0.0,90112.0,509325.0,164343.0,103669.0,103670.0
34.819,10.089,50.891,0.0,0.0,4.201,9168904.0,23251283.0,0.0,16384.0,510931.0,168351.0,106603.0,106593.0
35.644,10.193,50.174,0.0,0.0,3.989,9228086.0,23395078.0,0.0,16384.0,515643.0,169070.0,107320.0,107316.0
34.386,10.112,51.069,0.0,0.0,4.434,9187938.0,23297996.0,0.0,16384.0,508407.0,167061.0,106790.0,106792.0
